budget,arm,mean,sd,folds,evaluation_images,ci_low,ci_high,p_value
10,permuted_control,0.9198222222222222,0.07268136106949002,25,99,,,
10,semi_supervised,0.9413333333333334,0.04683940692571013,25,99,,,
10,supervised,0.9405333333333334,0.0392039092700921,25,99,,,
10,difference,0.021511111111111095,,25,99,-0.004978888888888908,0.05120333333333327,0.118
20,permuted_control,0.9206666666666666,0.08076027626390478,25,99,,,
20,semi_supervised,0.925911111111111,0.0749174580081525,25,99,,,
20,supervised,0.9517777777777777,0.0513621051322996,25,99,,,
20,difference,0.0052444444444444335,,25,99,-0.021118888888888906,0.034356666666666646,0.707
40,permuted_control,0.9469333333333333,0.044038983852553074,25,99,,,
40,semi_supervised,0.9472888888888887,0.048420610854836954,25,99,,,
40,supervised,0.9567999999999999,0.03986902425003908,25,99,,,
40,difference,0.0003555555555555179,,25,99,-0.02173555555555559,0.025378888888888854,0.97
59,permuted_control,0.9519111111111112,0.06258370526430224,25,99,,,
59,semi_supervised,0.9582222222222222,0.040746632570601696,25,99,,,
59,semi_supervised_confident,0.9454666666666666,0.05805393405497388,25,99,,,
59,supervised,0.965511111111111,0.03501833734798501,25,99,,,
59,difference,0.006311111111111121,,25,99,-0.011689999999999985,0.028845555555555555,0.571
